user,reaction_speed(in_ms),type_of_activation
User2,589,sound
User3,435,shock
User2,999,sound
User1,41,light
User1,349,light
User5,178,shock
User5,32,light
User5,63,sound
User5,593,light
User1,120,light
User4,26,light
User5,700,sound
User5,631,shock
User5,140,light
User4,454,light
User5,40,light
User4,41,shock
User1,917,light
User3,850,light
User5,450,light
User1,976,light
User1,666,sound
User1,791,light
User2,642,light
User2,580,light
User5,517,sound
User4,101,light
User4,813,shock
User2,599,sound
User5,887,light
User2,248,shock
User4,933,shock
User5,159,shock
User2,298,sound
User1,575,sound
User3,296,sound
User3,397,light
User2,507,light
User1,37,light
User5,708,shock
User4,607,light
User2,408,sound
User1,779,shock
User3,628,shock
User3,979,light
User5,41,shock
User2,799,sound
User2,829,sound
User1,41,sound
User3,363,light
User5,331,shock
User5,785,light
User2,590,shock
User3,83,shock
User3,979,light
User5,850,light
User5,581,shock
User2,855,light
User2,249,shock
User2,632,sound
User4,314,sound
User2,671,light
User3,328,sound
User4,616,shock
User1,959,shock
User3,582,light
User4,745,shock
User3,722,shock
User2,464,shock
User5,546,sound
User5,402,shock
User2,776,light
User4,505,sound
User2,945,light
User3,425,light
User4,680,sound
User3,262,shock
User4,560,shock
User3,748,shock
User3,418,light
User3,701,sound
User5,700,sound
User3,578,shock
User1,59,light
User2,741,light
User2,77,light
User3,711,shock
User1,719,light
User1,771,shock
User5,953,shock
User3,828,shock
User1,897,sound
User1,477,sound
User1,275,light
User4,597,shock
User5,207,light
User5,594,light
User1,736,shock
User4,285,sound
User1,611,light
User4,345,sound
User4,868,sound
User5,279,sound
User3,869,light
User3,9,shock
User4,394,light
User2,731,sound
User5,801,light
User4,905,shock
User5,587,sound
User2,312,light
User4,3,sound
User2,530,shock
User4,313,sound
User2,273,light
User5,905,sound
User5,614,shock
User2,29,sound
User2,341,shock
User4,685,sound
User4,758,shock
User5,82,shock
User3,948,light
User1,559,light
User4,507,light
User1,969,light
User5,759,shock
User5,946,sound
User5,679,light
User3,56,sound
User5,807,light
User3,419,light
User5,888,shock
User3,538,light
User3,843,light
User5,763,shock
User4,598,light
User2,169,light
User2,485,shock
User4,406,light
User2,802,sound
User1,947,light
User4,763,shock
User5,753,light
User5,390,light
User4,930,light
User5,471,shock
User4,228,light
User3,50,sound
User3,233,sound
User1,228,shock
User1,754,light
User3,435,light
User5,725,shock
User3,336,light
User2,335,light
User3,784,sound
User4,95,shock
User2,379,shock
User5,777,shock
User2,495,sound
User3,387,shock
User1,687,light
User2,340,shock
User4,39,light
User2,296,sound
User4,509,shock
User2,944,sound
User4,104,shock
User4,483,light
User2,754,shock
User1,421,shock
User5,167,light
User2,628,light
User2,16,light
User1,830,light
User1,406,shock
User2,799,shock
User5,772,sound
User3,821,sound
User1,387,shock
User1,141,sound
User3,379,sound
User5,911,shock
User1,199,shock
User5,87,sound
User1,984,shock
User4,814,light
User5,321,sound
User4,884,shock
User3,232,shock
User2,896,shock
User4,599,light
User5,731,light
User5,459,shock
User5,889,sound
User4,789,shock
User1,937,light
User5,641,shock
User2,331,shock
User3,907,shock
User5,605,light
User3,97,shock
User3,737,light
User3,505,shock
User4,280,light
User5,950,sound
User5,393,shock
User2,479,shock
User2,877,shock
User2,356,sound
User3,679,sound
User3,56,light
User1,612,light
User4,498,shock
User4,947,light
User5,380,sound
User5,955,sound
User1,605,shock
User5,210,sound
User2,9,shock
User4,53,sound
User2,509,light
User4,669,shock
User2,569,sound
User3,444,light
User2,629,shock
User1,576,light
User3,24,light
User3,620,sound
User4,181,sound
User5,858,shock
User2,640,light
User5,373,light
User5,786,shock
User4,315,sound
User2,622,shock
User5,388,shock
User3,510,sound
User3,623,light
User1,241,sound
User4,831,shock
User3,709,sound
User2,157,light
User3,174,sound
User1,821,shock
User1,987,sound
User1,919,light
User5,438,sound
User4,52,sound
User3,504,light
User5,546,shock
User1,756,sound
User3,670,sound
User2,163,sound
User2,636,sound
User1,864,shock
User4,387,sound
User5,57,shock
User1,411,light
User2,344,light
User4,446,light
User4,418,shock
User4,269,shock
User1,288,light
User2,432,shock
User2,467,sound
User4,605,light
User4,998,light
User5,856,light
User4,973,shock
User2,650,sound
User4,296,sound
User4,478,shock
User4,572,light
User4,441,sound
User3,718,shock
User3,926,light
User4,93,sound
User3,22,light
User2,660,sound
User4,745,light
User3,372,sound
User3,52,shock
User1,16,sound
User1,742,sound
User5,958,shock
User5,877,light
User1,699,light
User4,23,light
User4,264,shock
User5,448,sound
User4,825,light
User5,87,sound
User1,46,light
User2,66,light
User1,488,light
User2,840,shock
User1,646,shock
User1,105,light
User5,909,sound
User4,337,light
User1,531,shock
User5,462,sound
User3,152,shock
User3,400,sound
User1,149,light
User1,313,sound
User2,887,light
User3,656,light
User5,731,light
User2,766,light
User4,482,light
User2,818,light
User4,849,shock
User4,523,sound
User1,631,sound
User2,752,shock
User4,604,sound
User3,228,light
User2,933,light
User2,387,shock
User4,638,shock
User4,937,sound
User2,988,shock
User2,407,sound
User1,295,light
User5,390,shock
User2,958,light
User1,349,sound
User2,872,shock
User3,979,sound
User4,681,sound
User1,279,shock
User3,997,shock
User2,311,light
User3,960,shock
User2,710,shock
User3,598,light
User4,643,light
User3,910,sound
User2,671,light
User2,5,sound
User1,657,light
User4,379,sound
User1,774,shock
User4,547,light
User1,775,light
User3,326,light
User3,913,shock
User3,599,shock
User5,636,shock
User1,138,light
User3,842,sound
User2,693,shock
User5,786,sound
User5,577,light
User3,882,shock
User4,337,sound
User5,514,sound
User2,219,shock
User3,41,sound
User2,696,shock
User2,85,shock
User3,325,sound
User3,373,sound
User5,341,shock
User3,621,shock
User5,87,light
User5,415,sound
User3,299,shock
User4,635,sound
User5,369,light
User4,301,light
User2,379,sound
User5,699,sound
User1,296,sound
User5,849,sound
User4,666,light
User5,413,light
User2,102,shock
User1,196,shock
User5,497,sound
User5,843,sound
User1,505,light
User3,660,light
User3,753,shock
User2,612,sound
User4,708,sound
User1,610,light
User2,749,light
User1,944,shock
User5,601,light
User1,893,shock
User1,416,shock
User1,84,light
User4,365,light
User5,723,sound
User3,938,light
User3,888,sound
User5,908,shock
User4,528,shock
User3,355,sound
User2,526,sound
User5,841,light
User5,778,sound
User3,420,shock
User2,173,shock
User2,776,sound
User1,608,sound
User5,829,sound
User2,358,light
User2,552,shock
User4,425,sound
User2,609,light
User5,224,shock
User3,215,shock
User2,147,shock
User1,156,sound
User5,150,sound
User2,690,light
User3,61,shock
User3,256,light
User2,540,sound
User1,370,shock
User1,32,sound
User3,528,shock
User3,41,light
User5,124,light
User1,309,shock
User1,914,shock
User2,646,light
User5,639,shock
User2,287,light
User3,931,sound
User5,420,sound
User5,687,shock
User3,514,shock
User2,689,shock
User4,759,sound
User2,360,sound
User2,219,light
User5,610,shock
User3,984,light
User2,501,sound
User5,72,shock
User5,232,light
User5,159,sound
User5,692,sound
User3,996,sound
User3,883,sound
User4,651,light
User5,948,shock
User4,92,light
User3,791,shock
User3,732,sound
User3,115,shock
User2,590,sound
User4,372,shock
User5,11,sound
User2,474,shock
User3,959,shock
User5,551,sound
User3,83,sound
User2,974,sound
User2,300,sound
User3,208,sound
User4,387,shock
User3,435,sound
User4,183,sound
User1,159,light
User2,193,sound
User3,873,light
User4,442,light
User5,505,shock
User4,540,sound
User4,98,light
User2,875,sound
User5,250,shock
User2,999,shock
User2,11,light
User2,396,shock
User4,344,shock
User2,600,sound
User1,808,light
User3,830,sound
User2,437,light
User1,948,sound
User3,387,light
User3,123,sound
User4,773,sound
User2,901,shock
User1,41,shock
User4,801,sound
User3,647,sound
User2,392,sound
User2,690,shock
User3,701,sound
User5,618,sound
User3,293,sound
User4,170,shock
User3,574,shock
User2,767,shock
User5,116,light
User3,986,light
User1,175,light
User1,582,light
User4,730,shock
User2,209,shock
User1,631,shock
User4,940,light
User3,205,shock
User1,565,light
User1,33,shock
User1,619,sound
User4,825,shock
User4,62,shock
User5,281,sound
User2,79,light
User2,739,shock
User4,851,light
User1,790,sound
User5,795,shock
User1,55,sound
User2,355,sound
User2,906,shock
User2,676,light
User3,209,shock
User4,807,sound
User1,856,sound
User4,298,sound
User4,360,sound
User5,743,sound
User5,883,shock
User4,275,shock
User3,832,sound
User3,848,sound
User5,754,light
User2,128,light
User3,881,light
User1,190,light
User2,192,light
User2,11,shock
User4,928,light
User3,586,light
User3,420,light
User3,858,light
User4,669,light
User3,742,light
User4,230,shock
User5,9,light
User4,690,shock
User1,593,sound
User2,305,sound
User4,805,sound
User1,945,shock
User2,420,sound
User2,27,light
User2,90,light
User1,0,sound
User1,142,light
User3,866,light
User4,827,sound
User5,677,light
User1,435,light
User3,255,sound
User1,153,shock
User5,661,sound
User3,705,shock
User5,555,shock
User3,953,shock
User4,107,shock
User4,824,sound
User4,228,sound
User4,724,light
User1,470,sound
User2,737,shock
User2,877,light
User3,784,sound
User1,315,shock
User1,698,light
User3,741,light
User1,131,shock
User5,114,shock
User2,382,shock
User4,905,light
User1,170,light
User4,444,sound
User2,790,sound
User3,579,sound
User1,949,light
User3,14,light
User4,308,shock
User4,972,shock
User4,61,sound
User5,506,sound
User5,866,shock
User4,578,sound
User2,750,sound
User3,674,shock
User2,884,shock
User4,167,shock
User1,579,shock
User1,336,sound
User4,743,light
User4,769,sound
User4,597,shock
User3,441,shock
User5,153,light
User1,60,shock
User4,42,sound
User5,510,sound
User2,40,light
User1,319,light
User1,936,shock
User2,344,light
User1,266,shock
User4,407,sound
User4,403,shock
User3,785,shock
User3,536,shock
User1,359,sound
User1,274,sound
User1,880,shock
User5,997,light
User1,874,light
User3,483,sound
User5,314,shock
User4,884,light
User2,640,sound
User4,203,sound
User5,55,shock
User2,589,light
User1,112,sound
User4,695,shock
User2,996,sound
User1,448,shock
User3,722,sound
User3,826,shock
User1,266,shock
User5,617,light
User2,271,shock
User2,886,shock
User1,169,light
User4,357,sound
User3,293,shock
User2,752,light
User5,32,sound
User2,4,shock
User5,1000,shock
User3,72,light
User1,880,shock
User3,448,light
User2,616,light
User3,884,light
User3,384,light
User1,407,sound
User3,398,shock
User5,281,light
User5,396,shock
User4,591,shock
User5,524,light
User5,355,light
User5,430,light
User2,287,sound
User3,543,shock
User3,527,sound
User2,159,light
User4,45,light
User4,314,light
User3,505,shock
User4,204,sound
User4,581,light
User2,805,sound
User4,146,sound
User3,936,shock
User5,712,shock
User5,563,sound
User1,215,light
User5,458,sound
User3,242,sound
User2,680,shock
User5,677,light
User3,904,light
User5,256,sound
User3,479,light
User4,626,light
User2,105,light
User2,784,light
User2,468,light
User2,686,shock
User5,203,shock
User2,356,shock
User4,313,sound
User4,351,light
User2,868,light
User1,153,sound
User4,702,light
User2,78,shock
User1,238,shock
User4,952,sound
User2,485,sound
User1,263,shock
User3,8,light
User5,752,shock
User1,619,sound
User3,42,sound
User3,319,shock
User2,981,light
User5,884,sound
User1,290,light
User4,451,sound
User4,880,sound
User4,625,light
User3,631,light
User1,302,shock
User3,874,light
User5,91,light
User3,133,shock
User1,260,sound
User5,886,light
User2,25,light
User2,645,sound
User4,388,light
User1,515,shock
User1,473,sound
User4,41,light
User1,839,shock
User5,797,light
User1,574,sound
User2,739,shock
User4,364,shock
User3,50,shock
User2,224,shock
User2,277,shock
User5,183,shock
User2,126,light
User4,196,shock
User3,40,shock
User3,434,shock
User3,966,sound
User4,820,shock
User5,670,shock
User1,579,sound
User2,493,shock
User4,775,shock
User2,812,light
User5,353,light
User5,570,light
User4,292,shock
User5,687,shock
User4,289,light
User3,298,sound
User4,701,light
User1,59,shock
User2,396,light
User3,196,shock
User2,965,shock
User3,529,sound
User3,297,light
User5,3,shock
User3,907,shock
User5,894,shock
User1,880,light
User4,732,sound
User1,19,sound
User2,939,sound
User2,275,light
User2,127,shock
User2,903,shock
User2,348,shock
User4,832,sound
User5,71,shock
User2,854,shock
User5,838,shock
User1,581,sound
User4,629,sound
User5,845,shock
User3,30,sound
User3,235,sound
User2,687,sound
User2,184,sound
User3,38,sound
User5,632,light
User5,670,sound
User5,774,sound
User4,638,light
User3,880,light
User3,560,shock
User5,239,sound
User5,379,sound
User4,868,light
User1,610,light
User5,228,sound
User1,404,shock
User1,208,sound
User2,807,sound
User5,720,light
User1,572,shock
User2,173,shock
User2,543,shock
User1,266,shock
User2,746,shock
User5,184,light
User5,271,shock
User3,271,sound
User1,539,sound
User3,442,light
User2,322,sound
User5,55,shock
User5,121,shock
User1,52,light
User1,842,shock
User4,889,sound
User3,216,sound
User4,852,sound
User3,438,shock
User2,563,shock
User3,143,shock
User5,521,shock
User1,140,light
User4,899,light
User3,938,shock
User3,183,light
User1,321,light
User5,719,light
User1,307,shock
User5,50,shock
User5,478,sound
User1,15,sound
User2,704,light
User5,72,shock
User3,277,light
User5,596,shock
User2,335,light
User2,410,shock
User5,841,sound
User3,263,shock
User1,151,sound
User2,935,light
User4,781,sound
User5,206,shock
User1,284,shock
User1,124,sound
User2,841,sound
User4,794,shock
User4,643,light
User3,369,light
User2,509,light
User5,865,sound
User5,456,shock
User1,549,sound
User2,979,light
User5,293,light
User1,365,shock
User4,95,light
User1,432,sound
User3,921,shock
User1,849,shock
User2,225,light
User3,947,shock
User1,874,light
User3,121,sound
User3,135,sound
User3,337,light
User5,719,shock
User3,552,sound
User3,372,light
User1,731,light
User5,699,light
User2,501,light
User1,865,light
User1,53,light
User2,649,light
User3,409,light
User2,491,sound
User2,946,shock
User1,564,shock
User4,745,light
User4,760,sound
User5,964,shock
User1,701,sound
User1,373,shock
User1,598,shock
User2,216,sound
User1,131,light
User2,40,shock
User3,914,light
User4,895,shock
User5,453,light
User3,505,light
User1,452,sound
User3,202,light
User3,292,light
User5,739,sound
User1,485,light
User5,586,shock
User2,268,sound
User3,408,light
User2,554,light
User3,894,sound
User2,114,sound
User3,645,sound
User2,794,light
User1,90,sound
User4,639,sound
User2,439,light
User2,465,light
User4,912,shock
User4,565,light
User2,191,sound
User4,963,sound
User3,133,shock
User2,517,sound
User2,339,light
User1,325,light
User5,877,light
User4,684,sound
User3,727,sound
User1,347,light
User3,319,shock
User3,657,shock
User4,740,light
User3,130,sound
User3,368,shock
User1,298,light
User4,574,shock
User5,380,sound
User1,308,light
User5,273,shock
User5,985,shock
User3,752,shock
User5,466,light
User2,345,shock
User2,419,shock
User3,257,sound
User1,200,sound
User4,132,shock
User2,203,light
User2,974,shock
User4,642,light
User3,856,sound
User2,251,shock
User3,578,light
User1,18,shock
User5,967,shock
User1,363,light
User5,872,light
User3,982,sound
User5,704,shock
User4,672,shock
User2,526,light
User1,407,sound
User1,309,light
User3,138,light
User2,773,shock
User1,517,shock
User2,832,shock
User1,105,light
User3,442,sound
User4,998,shock
User5,213,sound
User4,983,sound
User2,116,shock
User1,793,sound
User1,593,light
User3,120,light
User5,330,shock
User2,804,light
User5,906,shock
User4,814,sound
User1,68,light
User2,611,shock
User5,911,shock
User2,281,shock
User3,79,shock
User4,158,light
User2,951,sound
User2,247,shock
User4,240,shock
User3,624,shock
User5,634,light
User1,701,shock
User2,587,shock
User3,773,light
User3,855,sound
User5,272,light
User2,904,shock
User1,311,sound
User3,473,sound
User2,282,shock
User3,394,light
User1,603,light
User4,716,sound
User3,218,light
User2,178,shock
User1,332,sound
User4,575,sound
User1,156,shock
User5,729,light
User4,746,sound
User1,26,light
User3,269,shock
User3,32,light
User5,464,light
User3,340,sound
User4,361,light
User1,776,light
User5,671,light
User1,79,light
User1,603,sound
User1,40,light
User2,894,shock
User5,575,sound
User5,268,sound
User1,8,light
User4,115,shock
User2,676,shock
User2,731,shock
User4,869,light
User1,735,shock
User5,80,sound
User5,722,sound
User5,61,light
User1,302,shock
User2,796,shock
User5,53,sound
User1,600,light
User2,66,shock
User5,367,sound
User5,797,sound
User2,128,sound
User2,397,sound
User2,628,light
User1,920,shock
User2,90,sound
User5,720,sound
User3,949,sound
User4,716,shock
User3,38,light
User2,255,sound
User4,807,sound
User2,988,light
User5,484,light
User2,305,shock
User5,591,shock
User3,572,shock
User5,155,sound
User2,376,light
User5,817,sound
User2,595,sound
User1,117,sound
User2,704,light
User3,622,sound
User3,230,light
User3,395,sound
User4,15,light
User3,565,shock
User5,82,sound
User4,651,light
User4,964,light
User5,800,light
User4,164,shock
User3,280,light
User5,510,sound
User4,377,light
User2,89,sound
User2,810,sound
User4,905,sound
User4,726,sound
User3,623,light
User1,540,sound
User1,424,light
User2,420,shock
User5,519,light
User5,978,sound
User5,834,shock
User3,737,light
User4,535,light
User4,417,shock
User5,680,light
User1,786,light
User2,219,light
User3,568,shock
User3,630,sound
User5,747,sound
User3,481,sound
User3,200,sound
User2,71,sound
User5,401,light
User2,211,sound
User2,155,shock
User5,464,sound
User2,775,light
User1,329,sound
User4,851,sound
User4,861,sound
User1,778,light
User3,605,light
User5,934,sound
User2,372,shock
User2,54,shock
User2,524,sound
User3,63,shock
User2,494,shock
User5,796,shock
User4,404,sound
User1,775,light
User3,160,sound
User1,339,shock
User5,608,sound
User5,210,sound
User4,9,shock
User2,28,sound
User4,418,sound
User3,639,light
User2,90,sound
User2,558,sound
User5,530,light
User4,479,shock
User1,152,shock
User2,263,light
User5,261,light
User5,995,shock
User2,884,light
User4,241,light
User4,542,sound
User2,748,light
User5,26,light
User1,819,sound
User1,596,sound
User5,711,light
User3,237,shock
User2,538,sound
User2,674,shock
User5,505,sound
User5,283,shock
User2,403,sound
User2,146,sound
User4,56,light
User1,824,light
User3,909,sound
User1,28,shock
User1,162,shock
User5,837,light
User3,164,sound
User5,248,shock
User5,709,sound
User2,915,sound
User1,774,light
User1,286,light
User3,502,shock
User4,840,light
User2,497,light
User3,750,shock
User2,899,light
User2,126,shock
User5,711,light
User4,683,shock
User5,446,light
User5,424,sound
User3,622,sound
User5,361,light
User5,187,sound
User5,328,sound
User5,908,light
User4,673,light
User3,602,sound
User1,634,sound
User3,106,light
User1,102,sound
User2,372,light
User2,338,sound
User2,671,sound
User2,149,light
User2,198,sound
User5,613,light
User1,964,shock
User5,924,shock
User2,452,shock
User5,592,light
User3,981,shock
User3,512,light
User2,1,sound
User5,201,sound
User5,852,light
User2,689,shock
User2,338,light
User2,601,light
User4,384,sound
User2,355,sound
User1,179,shock
User2,981,shock
User2,429,sound
User5,157,sound
User1,350,shock
User4,13,shock
User5,973,sound
User5,657,sound
User4,428,shock
User5,768,shock
User1,400,light
User4,361,light
User1,361,light
User1,670,sound
User1,401,light
User3,581,shock
User3,797,sound
User2,27,light
User2,553,sound
User4,804,light
User3,594,sound
User5,41,light
User4,744,light
User3,393,sound
User5,300,light
User5,366,light
User3,902,sound
User5,864,sound
User4,588,shock
User3,474,sound
User3,67,shock
User1,760,shock
User3,556,shock
User2,828,sound
User5,823,light
User1,610,shock
User2,348,light
User3,153,light
User4,610,shock
User4,143,shock
User4,781,light
User4,152,sound
User5,806,shock
User4,862,shock
User1,180,light
User3,351,shock
User1,933,light
User4,670,sound
User1,151,sound
User1,640,sound
User2,409,sound
User3,642,shock
User5,113,sound
User1,668,sound
User2,291,sound
User5,456,sound
User3,330,sound
User4,220,shock
User3,302,sound
User4,326,sound
User3,49,sound
User2,46,light
User2,262,light
User1,927,sound
User3,191,shock
User2,718,shock
User1,966,light
User4,976,sound
User4,638,shock
User4,765,light
User3,491,shock
User4,920,sound
User1,725,sound
User3,536,sound
User5,723,light
User4,892,light
User2,756,shock
User5,497,light
User5,814,sound
User1,75,light
User3,953,sound
User5,273,sound
User1,320,light
User2,6,shock
